title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
De valore formulae integralis ∫ (<em>z</em><sup><em>m</em>-1</sup> ± <em>z</em><sup><em>n</em>-<em>m</em>-1</sup>)/(1 ± <em>z</em><sup><em>n</em></sup>) <em>dz</em> casu quo post integrationem ponitur <em>z</em>=1;On the value of the integral formula ∫ (<em>z</em><sup><em>m</em>-1</sup> ± <em>z</em><sup><em>n</em>-<em>m</em>-1</sup>)/(1 ± <em>z</em><sup><em>n</em></sup>) <em>dz</em> in the case in which after integration it is put <em>z</em> = 1;462;231;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;3-29;1;17;358;383;E462;462;https://scholarlycommons.pacific.edu/euler-works/462
De valore formulae integralis ∫ (<em>z</em><sup>λ-ω</sup> ± <em>z</em><sup>λ+ω</sup>)/(1 ± <em>z</em><sup>2λ</sup>)(<em>dz</em>/<em>z</em>)(log <em>z</em>)<sup>μ</sup> casu quo post integrationem ponitur <em>z</em> = 1;On the value of the integral formula ∫ (<em>z</em><sup>λ-ω</sup> ± <em>z</em><sup>λ+ω</sup>)/(1 ± <em>z</em><sup>2λ</sup>)(<em>dz</em>/<em>z</em>)(log <em>z</em>)<sup>μ</sup> in the case in which after integration it is put <em>z</em> = 1;463;234;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;30-65;1;17;384;420;E463;463;https://scholarlycommons.pacific.edu/euler-works/463
Nova methodus quantitates integrales determinandi;A new method of determining integral qualities;464;223;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;66-102;1;17;421;457;E464;464;https://scholarlycommons.pacific.edu/euler-works/464
Demonstratio theorematis Neutoniani de evolutione potestatum binomii pro casibus, quibus exponentes non sunt numeri integri;A demonstration of a theorem of Newton on the expansion of the powers of a binomial by cases, in which the exponents are not integral numbers;465;130;Latin;1773;1773;1773;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;103-111;1;15;207;216;E465;465;https://scholarlycommons.pacific.edu/euler-works/465
Problema Diophanteum singulare;A singular Diophantine problem;466;71;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;112-131;1;3;338;358;E466;466;https://scholarlycommons.pacific.edu/euler-works/466
De tabula numerorum primorum usque ad millionem et ultra continuanda, in qua simul omnium numerorum non primorum minimi divisores exprimantur;On the table of prime numbers continued up to one million and beyond, in which at once all the non-prime numbers are expressed by their smallest divisors;467;29;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;132-183;1;3;359;404;E467;467;https://scholarlycommons.pacific.edu/euler-works/467
De oscillationibus minimis penduli quotunque pondusculis onusti;On the minimal oscillations of a pendulum laden with a given weight;468;490;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;285-301;2;9;35;50;E468;468;https://scholarlycommons.pacific.edu/euler-works/468
De motu oscillatorio binarum lancium ex libra suspensarum;On the oscillatory movement of two plates suspended from a balance;469;496;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;302-324;2;9;51;70;E469;469;https://scholarlycommons.pacific.edu/euler-works/469
Explicatio motus oscillatorii mirabilis in libra maiore observati;;470;497;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;325-339;2;9;71;83;E470;470;https://scholarlycommons.pacific.edu/euler-works/470
"De motu turbinatorio chordarum musicarum; ubi simul universa theoria aequilibrii quam motus corporum flexibilium simulque etiam elasticorum breviter explicatur";;471;510;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;340-370;2;11;158;179;E471;471;https://scholarlycommons.pacific.edu/euler-works/471
Commentatio hypothetica de periculo a nimia cometae approponquatione metuendo;;472;663;Latin;1775;1775;1775;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;19;499-548;2;29;293;335;E472;472;https://scholarlycommons.pacific.edu/euler-works/472
Éclaircissemens sur les établissemens publics en faveur tant des veuves que des morts;Clarifications on the public establishments which are helpful to widows as well as to the deceased;473;296;French?;1776;1776;1776;quarto;book;St. Petersburg: Imperial Academy of Sciences;1776?;1-72;1;7;181;245;E473;473;https://scholarlycommons.pacific.edu/euler-works/473
Solutio quorundam problematum Diophanteorum;A solution of several Diophantine problems;474;72;Latin;1771;1771;1771;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;48-58;1;3;405;417;E474;474;https://scholarlycommons.pacific.edu/euler-works/474
Speculationes analyticae;Analytical speculations;475;239;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;59-79;1;18;1;22;E475;475;https://scholarlycommons.pacific.edu/euler-works/475
Observationes circa novum et singulare progressionum genus;Observations about a new and singular type of progression;476;155;Latin;1771;1771;1771;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;123-139;1;7;246;261;E476;476;https://scholarlycommons.pacific.edu/euler-works/476
Meditationes circa singulare serierum genus;Meditations about a singular type of series;477;143;Latin;1771;1771;1771;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;140-186;1;15;217;267;E477;477;https://scholarlycommons.pacific.edu/euler-works/477
Formulae generales pro translatione quacunque corporum rigidorum;General formulas for the translation of arbitrary rigid bodies;478;468;Latin;1775;1775;1775;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;189-207;2;9;84;98;E478;478;https://scholarlycommons.pacific.edu/euler-works/478
Nova methodus motum corporum rigidorum degerminandi;A new method for generating the motion of a rigid body;479;469;Latin;1775;1775;1775;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;208-238;2;9;99;125;E479;479;https://scholarlycommons.pacific.edu/euler-works/479
Regula facilis pro diiudicanda firmitate pontis aliusve corporis similis excognita firmitate moduli;;480;593;Latin;1775;1775;1775;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;271-285;2;17;220;231;E480;480;https://scholarlycommons.pacific.edu/euler-works/480
De gemina methodo tam aequilibrium quam motum corporum flexibilium determinandi et utriusque egregio consensu;;481;454;Latin;1774;1774;1774;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;286-303;2;11;180;193;E481;481;https://scholarlycommons.pacific.edu/euler-works/481
De pressione funium tensorum in corpora subiecta eorumque motu a frictione impedito. Ubi praesertim methodus traditur …;;482;458, 459;Latin;1775;1775;1775;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;304-342;2;11;194;222;E482;482;https://scholarlycommons.pacific.edu/euler-works/482
De traiectu citissimo stellae per duos circulos almucantarath datos pro qualibet elevatione poli. Auctore L. Eulero;;483;675;Latin;1775;1775;1775;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;503-508;2;30;232;235;E483;483;https://scholarlycommons.pacific.edu/euler-works/483
De circulo maximo fixo in coelo constituendo, ad quem orbitae planetarum et cometarum referantur. Auctore L. Eulero;;484;623;Latin;1775;1775;1775;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;20;509-540;2;30;237;261;E484;484;https://scholarlycommons.pacific.edu/euler-works/484
Réponse à la question proposée par l'académie royale des sciences de Paris, pour l'année 1770;Answer to the question proposed by the Paris Academy for the year 1770;485;641;French?;1769;1769;1769;Paris prize;article;Recueil des pièces qui ont remporté les prix de l'académie royale des sciences;9;1-94;2;24;101;106;E485;485;https://scholarlycommons.pacific.edu/euler-works/485
Réponse à la question proposée par l'académie royale des sciences de Paris, pour l'année 1772;Answer to the question proposed by the Paris Academy for the year 1772;486;646;French;1771;1771;1771;Paris prize;article;Recueil des pièces qui ont remporté les prix de l'académie royale des sciences;9;1-38;2;24;167;190;E486;486;https://scholarlycommons.pacific.edu/euler-works/486
Réflections de Mr. L. Euler sur quelques nouvelles expériences optiques, communiquées a l'academie des sciences, par Mr. Wilson;Thoughts of Mr. L. Euler concerning new experiments in optics, communicated to the Academy of Sciences by Mr. Wilson;487;688;French;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;71-77;3;5;351;355;E487;487;https://scholarlycommons.pacific.edu/euler-works/487
Observationes in praecedentem dissertationem illustris Bernoulli;Observations on the foregoing dissertation of Bernoulli;488;292;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;24-33;1;7;280;290;E488;488;https://scholarlycommons.pacific.edu/euler-works/488
De formulis exponentialibus replicatis;On unravelling exponential formulas;489;190;Latin;1777;1777;1777;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;38-60;1;15;268;297;E489;489;https://scholarlycommons.pacific.edu/euler-works/489
De repraesentatione superficiei sphaericae super plano;On the representation of spherical surfaces on a plane;490;337;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;107-132;1;28;248;275;E490;490;https://scholarlycommons.pacific.edu/euler-works/490
De proiectione geographica superficiei sphaericae;On the geographical projections of spherical surfaces;491;339;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;133-142;1;28;276;287;E491;491;https://scholarlycommons.pacific.edu/euler-works/491
De proiectione geographica Deslisliana in mappa generali imperii russici usitata;On de Lisle's geographic projection and its use in the general map of the Russian empire;492;338;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;143-153;1;28;288;297;E492;492;https://scholarlycommons.pacific.edu/euler-works/492
Vera theoria refractionis et dispersionis radiorum rationibus et experimentis confirmata;;493;693;Latin;1774;1774;1774;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;174-189;3;5;356;370;E493;493;https://scholarlycommons.pacific.edu/euler-works/493
De figura quam ventus fluido stagnanti inducere valet;On the figure that the wind can induce on a stagnant fluid;494;570;Latin;1777;1777;1777;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;190-194;2;13;370;375;E494;494;https://scholarlycommons.pacific.edu/euler-works/494
Considerationes super problemate astronomico in tomo commentarior. veter. IV. pertractato. Auctore L. Eulero;Considerationes super problemate astronomico in tomo commentarior. veter. IV. pertractato.;495;636;Latin;1777;1777;1777;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;269-275;2;30;262;268;E495;495;https://scholarlycommons.pacific.edu/euler-works/495
De figura apparente annuli Saturni pro eius loco quocunque respectu terrae. Auctore L. Eulero;On the apparent figure of the ring of Saturn, according to the place of it from any perspective on earth;496;658;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;276-287;2;30;269;280;E496;496;https://scholarlycommons.pacific.edu/euler-works/496
De apparitione et disaparitione annuli Saturni. Auctore L. Eulero;On the appearance and disappearance of the rings of Saturn;497;659;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: I;288-316;2;30;281;305;E497;497;https://scholarlycommons.pacific.edu/euler-works/497
Extrait d'un lettre de M. Euler à M. Beguelin en Mai 1778;Extract of a letter from Mr. Euler to Mr. Beguelin from May 1778;498;30;French;1778;1778;1778;published;letter;Nouveaux Mémoires de l'académie royale des sciences de Berlin;1776;337-339;1;3;418;420;E498;498;https://scholarlycommons.pacific.edu/euler-works/498
De integratione formulae ∫ (<em>dx</em> log <em>x</em>)/√(1-<em>xx</em>) ab <em>x</em>=0 ad <em>x</em>=1 extensa;On the integration of the formula ∫ (<em>dx</em> log <em>x</em>)/√(1-<em>xx</em>) from <em>x</em>=0 to <em>x</em>=1;499;236;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: II;3-28;1;18;23;50;E499;499;https://scholarlycommons.pacific.edu/euler-works/499
De valore formulae integralis ∫(<em>x</em><sup><em>a</em>-1</sup> <em>dx</em>)/(log <em>x</em>)∙(1–<em>x</em><sup><em>b</em></sup>)(1–<em>x</em><sup><em>c</em></sup>)/(1–<em>x</em><sup><em>n</em></sup>) a termino <em>x</em>=0 usque ad <em>x</em>=1 extensae;On the value of the integral formula ∫(<em>x</em><sup><em>a</em>-1</sup> <em>dx</em>)/(log <em>x</em>)∙(1–<em>x</em><sup><em>b</em></sup>)(1–<em>x</em><sup><em>c</em></sup>)/(1–<em>x</em><sup><em>n</em></sup>) bounded at <em>x</em>=0 and extended to <em>x</em>=1;500;238;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: II;29-47;1;18;51;68;E500;500;https://scholarlycommons.pacific.edu/euler-works/500
Considerationes circa brachystochronas;Considerations about brachistochrones;501;379;Latin;1771;1771;1771;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: II;70-88;1;25;250;268;E501;501;https://scholarlycommons.pacific.edu/euler-works/501
Sur l'effet de la réfraction dans les observations terrestres;On the effects of refraction during terrestrial observations;502;674;French;1778;1778;1778;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: II;129-158;3;5;370;395;E502;502;https://scholarlycommons.pacific.edu/euler-works/502
De motu oscillatorio penduli cuiuscunque, dum arcus datae amplitudinis absolvit;;503;491;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: II;159-182;2;7;39;60;E503;503;https://scholarlycommons.pacific.edu/euler-works/503
De Theoria Lunae ad maiorem perfectionis gradum evehenda;On the Theory of the Moon which is to be carried to a higher level of perfection;504;642;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1777: II;281-327;2;24;;;E504;504;https://scholarlycommons.pacific.edu/euler-works/504
"De corporibus regularibus per doctrinam sphaericam determinatis; ubi simul nova methodus globos sive coelestes sive terrestres charta obducendi traditur";;505;319;Latin;1774;1774;1774;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: I;3-19;1;26;189;203;E505;505;https://scholarlycommons.pacific.edu/euler-works/505
Dilucidationes super methodo elegantissima, qua illustris de la Grange usus est in integranda aequatione differentiali <em>dx</em>/√<em>X</em> = <em>dy</em>/√<em>Y</em>;Elucidations about a most elegant method, which the illustrious la Grange used in the integration of the differential equation <em>dx</em>/√<em>X</em> = <em>dy</em>/√<em>Y</em>;506;282;Latin;1777;1777;1777;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: I;20-57;1;21;1;38;E506;506;https://scholarlycommons.pacific.edu/euler-works/506
De infinities infinitis gradibus tam infinite magnorum quam infinite parvorum;On the infinity of infinities of orders of the infinitely large and infinitely small;507;194;Latin;1777;1777;1777;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: I;102-118;1;15;298;313;E507;507;https://scholarlycommons.pacific.edu/euler-works/507
Determinatio onerum, quae columnae gestare valent;The determination of the loads which columns are strong enough to bear;508;589;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: I;121-145;2;17;232;251;E508;508;https://scholarlycommons.pacific.edu/euler-works/508
Examen insignis paradoxi in theoria columnarum occurentis;An examination of an outstanding paradox occurring in the theory of columns;509;590;Latin;1778;1778;1778;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: I;146-162;2;17;252;265;E509;509;https://scholarlycommons.pacific.edu/euler-works/509
De altitudine columnarum sub proprio pondere corruentium;;510;591;Latin;1778;1778;1778;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: I;163-193;2;17;266;293;E510;510;https://scholarlycommons.pacific.edu/euler-works/510
Réflexions sur les inégalités dans le mouvement de la terre, causées par l'action de Venus;Reflections on the inequalities in the motion of the Earth caused by Venus' action;511;633;French;1777;1777;1777;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: I;297-307;2;27;;;E511;511;https://scholarlycommons.pacific.edu/euler-works/511
Investigatio perturbationum quae in motu terrae ab actione Veneris producunter: cum tabula perturbationum istarum;;512;634;Latin;1780;1780;1780;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: I;308-316;2;27;;;E512;512;https://scholarlycommons.pacific.edu/euler-works/512
De curvis triangularibus;On triangular curves;513;358;Latin;1774;1774;1774;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: II;3-30;1;28;298;321;E513;513;https://scholarlycommons.pacific.edu/euler-works/513
De mensura angulorum solidorum;On the measure of solid angles;514;334;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: II;31-54;1;26;204;223;E514;514;https://scholarlycommons.pacific.edu/euler-works/514
De casibus quibusdam maxime memorabilibus in analysi indeterminata, ubi imprimis insignis usus calculi angulorum in analysi Diophantea ostenditur;;515;56;Latin;1780;1780;1780;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: II;85-110;1;3;429;452;E515;515;https://scholarlycommons.pacific.edu/euler-works/515
De motu oscillatorio duorum corporum ex filo super trochleas traducto suspensorum;;516;486;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: II;137-149;2;7;61;72;E516;516;https://scholarlycommons.pacific.edu/euler-works/516
De problemate quodam mechanico, satis obvio, at solutu difficillimo;On a certain problem in mechanics, obvious enough, but with a most difficult solution;517;462;Latin;1780;1780;1780;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: II;150-161;2;7;73;83;E517;517;https://scholarlycommons.pacific.edu/euler-works/517
Solutio gemina problematis, quo motus corporis, filo alicubi alligati, super plano horizontali quaeritur;;518;463;Latin;1780;1780;1780;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: II;162-169;2;7;83;90;E518;518;https://scholarlycommons.pacific.edu/euler-works/518
Nova methodus motum planetarum determinandi;New method to determine the motion of planets;519;613;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1778: II;277-302;2;29;336;359;E519;519;https://scholarlycommons.pacific.edu/euler-works/519
Essai d'une théorie de la résistance qu'éprouve la proue d'un vaisseau dans son mouvement;Essay of a theory of resistance that a prow of a ship experiences throughout its motion;520;577;French;;;;journal;article;Mémoires de l'académie royale des sciences de Paris;1778;597-602;2;21;223;229;E520;520;https://scholarlycommons.pacific.edu/euler-works/520
Extraits de différents Lettres de M. Euler à M. le Marquis de Condorcet;Extracts of different letters of Mr. Euler to Mr. le Marquis de Condorcet;521;;French;1775, 1776;1775, 1776;1775, 1776;published;letter;Mémoires de l'académie royale des sciences de Paris;1778;603-614;1;18;69;82;E521;521;https://scholarlycommons.pacific.edu/euler-works/521
De formatione fractionum continuarum;On the formation of continuous fractions;522;91;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: I;3-29;1;15;314;337;E522;522;https://scholarlycommons.pacific.edu/euler-works/522
De tribus numeris quadratis, quorum tam summa quam summa productorum ex binis sit quadratum;On three square numbers, of which the sum and the sum of products two apiece will be a square;523;75;Latin;1780;1780;1780;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: I;30-39;1;3;453;462;E523;523;https://scholarlycommons.pacific.edu/euler-works/523
Trigonometria sphaerica universa, ex primis principiis breviter et dilucide derivata;A universal spherical trigonometry, derived briefly and from first principles;524;333;Latin;1781;1781;1781;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: I;72-86;1;26;224;236;E524;524;https://scholarlycommons.pacific.edu/euler-works/524
De motu oscillatorio mixto plurium pendulorum ex eodem corpore mobili suspensorum;;525;492;Latin;1774;1774;1774;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: I;89-102;2;9;126;138;E525;525;https://scholarlycommons.pacific.edu/euler-works/525
Investigatio motuum, quibus laminae et virgae elasticae contremiscunt;;526;525;Latin;1774;1774;1774;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: I;103-161;2;11;223;268;E526;526;https://scholarlycommons.pacific.edu/euler-works/526
Conjectura circa naturam aeris, pro explicandis phaenomenis in atmosphaera observatis;A conjecture about the nature of air, by which are to be explained the phenomenon which have been observed in the atmosphere;527;735;Latin;1780;1780;1780;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: I;103-161;2;31;307;328;E527;527;https://scholarlycommons.pacific.edu/euler-works/527
Annotatio in praecendentem dissertationem.;An annotation to the preceding dissertation;528;712;Latin;;;;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: I;162-187;3;9;;;E528;528;https://scholarlycommons.pacific.edu/euler-works/528
Theoria parallaxeos, ad figuram terrae sphaeroidicam accomodata;A theory of parallaxes, accommodating the spheroid shape of the Earth;529;627;Latin;1780;1780;1780;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: I;241-278;2;30;306;333;E529;529;https://scholarlycommons.pacific.edu/euler-works/529
Recherches sur un nouvelle espèce de quarrés magiques;Investigations on a new type of magic square;530;85;Latin;;;;journal;article;Verhandelingen uitgegeven door het zeeuwsch Genootschap der Wetenschappen te Vlissingen;9;85-239;1;7;291;392;E530;530;https://scholarlycommons.pacific.edu/euler-works/530
Opuscula analytica, tomus primus;Brief analytical works, volume 1;531;;Latin;;;;quarto;book;St. Petersburg: Imperial Academy of Sciences;;1-363;;;;;E531;531;https://scholarlycommons.pacific.edu/euler-works/531
De serie Lambertine plurimisque eius insignibus proprietatibus;On the remarkable properties of a series of Lambert and others;532;166;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: II;29-51;1;6;350;369;E532;532;https://scholarlycommons.pacific.edu/euler-works/532
De motu oscillatorio pendulorum ex filo tenso dependentium;On the oscillating motion derived from a tense hanging thread;533;493;Latin;1774;1774;1774;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: II;95-105;2;7;91;100;E533;533;https://scholarlycommons.pacific.edu/euler-works/533
Dilucidationes super aliquot casus aequilibrii difficiliores;Elucidations about several rather difficult cases of equilibrium;534;452;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: II;106-115;2;7;101;108;E534;534;https://scholarlycommons.pacific.edu/euler-works/534
Determinatio omnium motuum, quos chorda tensa et uniformiter crassa recipere potest;;535;512;Latin;1774;1774;1774;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: II;116-125;2;11;269;275;E535;535;https://scholarlycommons.pacific.edu/euler-works/535
De proprietatibus triangulorum mechanicis;On the properties of triangles in mechanics;536;443;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: II;126-155;2;9;138;162;E536;536;https://scholarlycommons.pacific.edu/euler-works/536
De figura curvae elasticae contra obiectiones quasdam Illustris d'Alembert;On the figure of elastic curves against the objections of the illustrious d'Alembert;537;365;Latin;1782;1782;1782;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: II;188-192;2;11;276;279;E537;537;https://scholarlycommons.pacific.edu/euler-works/537
Cautiones necessariae in determinatione motus planetarum observandae;Necessary cautions in the determination of the motion of planets which are to be observed;538;615;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1779: II;243-254;2;29;360;391;E538;538;https://scholarlycommons.pacific.edu/euler-works/538
Supplementum calculi integralis pro integratione formularum irrationalium;A supplement to the calculation of integrals for the calculation of irrational formulas;539;204;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;3-31;1;18;83;112;E539;539;https://scholarlycommons.pacific.edu/euler-works/539
Nova methodus fractiones quascumque rationales in fractiones simplices resolvendi;A new method for resolving all rational fractions into simpler fractions;540;88;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;32-46;1;6;370;383;E540;540;https://scholarlycommons.pacific.edu/euler-works/540
Evolutio producti infiniti (1–<em>x</em>)(1–<em>xx</em>)(1–<em>x</em><sup>3</sup>)(1–<em>x</em><sup>4</sup>)(1–<em>x</em><sup>5</sup>)(1–<em>x</em><sup>6</sup>) etc. in seriem simplicem;The expansion of the infinite product (1–<em>x</em>)(1–<em>xx</em>)(1–<em>x</em><sup>3</sup>)(1–<em>x</em><sup>4</sup>)(1–<em>x</em><sup>5</sup>)(1–<em>x</em><sup>6</sup>) etc. into a single series;541;167;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;47-55;1;3;472;479;E541;541;https://scholarlycommons.pacific.edu/euler-works/541
De mirabilis proprietatibus numerorum pentagonalium;On the remarkable properties of the pentagonal numbers;542;36;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;56-75;1;3;480;496;E542;542;https://scholarlycommons.pacific.edu/euler-works/542
Problematis cuiusdam Pappi Alexandrini constructio;The construction of a certain problem of Pappus of Alexandria;543;316;Latin;1782;1782;1782;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;91-96;1;26;237;242;E543;543;https://scholarlycommons.pacific.edu/euler-works/543
De motu libero plurium corporum filis colligatorum super plano horizontali;;544;464;Latin;1774;1774;1774;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;107-118;2;7;109;119;E544;544;https://scholarlycommons.pacific.edu/euler-works/544
De vi fluminis ad naves sursum trahendas applicanda;;545;572;Latin;1775;1775;1775;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;119-131;2;21;230;241;E545;545;https://scholarlycommons.pacific.edu/euler-works/545
De statu aequilibrii maris a viribus solis et lunae sollicitati;;546;733;Latin;;;;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;132-153;2;31;329;348;E546;546;https://scholarlycommons.pacific.edu/euler-works/546
Determinatio facilis orbitae cometae, cuius transitum per eclipticam bis observare licuit;Simple determination of the orbit of a comet, when it is possible to observe its transit across the ecliptic twice;547;662;Latin;1776;1776;1776;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;243-254;2;29;392;400;E547;547;https://scholarlycommons.pacific.edu/euler-works/547
De variis motuum generibus, qui in satellitibus planetarum locum habere possunt.;;548;616;Latin;1777;1777;1777;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;255-279;2;27;;;E548;548;https://scholarlycommons.pacific.edu/euler-works/548
De motibus maxime irregularibus, qui in systemate mundano locum habere possent, una cum methodo hujusmodi motus per temporis spatium quantumvis magnum prosequendi.;;549;631;Latin;1777;1777;1777;journal;article;Acta Academiae Scientiarum Imperialis Petropolitanae;1780: I;280-302;2;27;;;E549;549;https://scholarlycommons.pacific.edu/euler-works/549
De seriebus, in quibus producta ex minis terminis contiguis datam constituunt progressionem;On series in which the product of two consecutive terms make a given progression;550;160;Latin;1771;1771;1771;collection;article;Opuscula analytica;1;3-47;1;15;338;382;E550;550;https://scholarlycommons.pacific.edu/euler-works/550
Varia artificia in serierum indolem inquirendi;Various methods for inquiring into the innate characters of series;551;128;Latin;1772;1772;1772;collection;article;Opuscula analytica;1;48-63;1;15;383;399;E551;551;https://scholarlycommons.pacific.edu/euler-works/551
Observationes circa divisionem quadratorum per numeros primos;Observations about the division of squares by prime numbers;552;10;Latin;1772;1772;1772;collection;article;Opuscula analytica;1;64-84;1;3;497;512;E552;552;https://scholarlycommons.pacific.edu/euler-works/552
Observationes analyticae;Analytical observations;553;94;Latin;1772;1772;1772;collection;article;Opuscula analytica;1;85-120;1;15;400;434;E553;553;https://scholarlycommons.pacific.edu/euler-works/553
Disquitio accuratior circa residua ex divisione quadratorum altiorumque potestatum per numeros primos relicta;A more exact disquisition about the residues remaining from the division of squares and of higher powers by prime numbers;554;11;Latin;1772;1772;1772;collection;article;Opuscula analytica;1;121-156;1;3;513;543;E554;554;https://scholarlycommons.pacific.edu/euler-works/554
