title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
Consideratio progressionis cuiusdam ad circuli quadraturam inveniendam idoneae;Consideration of a progression suitable for finding the quadrature of a circle;125;159;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;11;116-127;1;14;350;363;E125;125;https://scholarlycommons.pacific.edu/euler-works/125
De novo genere oscillationum;On a new type of oscillation;126;484;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;11;128-149;2;10;78;97;E126;126;https://scholarlycommons.pacific.edu/euler-works/126
Explicatio phaenomenorum quae a motu lucis successive oriuntur;An explanation of the phenomena which proceed in turn from the movement of light;127;687;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;11;150-193;3;5;78;112;E127;127;https://scholarlycommons.pacific.edu/euler-works/127
Methodus facilis computandi angulorum sinus ac tangentes tam naturales quam artificiales;An easy method for computing the natural and artificial sines and tangents of angles;128;328;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;11;194-230;1;14;364;406;E128;128;https://scholarlycommons.pacific.edu/euler-works/128
Investigatio curvarum quae evolutae sui similes producunt;Investigation of curves which produce evolutes similar to themselves;129;431;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;12;3-52;1;27;130;180;E129;129;https://scholarlycommons.pacific.edu/euler-works/129
De seriebus quibusdam considerationes;Considerations on certain series;130;123;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;12;53-96;1;14;407;462;E130;130;https://scholarlycommons.pacific.edu/euler-works/130
Emendatio tabularum astronomicarum per loca planetarum geocentrica;An emmendation to astronomical tables of locating the geocenters of planets;131;680;Latin;1740;1740;1740;journal;article;Commentarii academiae scientiarum Petropolitanae;12;109-221;2;29;1;91;E131;131;https://scholarlycommons.pacific.edu/euler-works/131
Methodus viri celeberrimi Leonhardi Euleri determinandi gradus meridiani pariter ac paralleli telluris, secundum mensuram a celeb. de Maupertuis cum sociis institutam;Method of the celebrated Leonhard Euler for determining a degree of the meridian, as well as of a parallel of the earth, based on the measurement undertaken by the celebrated de Maupertuis and his colleagues;132;;Latin;1741;1741;1741;journal;article;Commentarii academiae scientiarum Petropolitanae;12;224-231;2;30;73;88;E132;132;https://scholarlycommons.pacific.edu/euler-works/132
De superficie conorum scalenorum aliorumque corporum conicorum;On the surface of scalene cones and of other conic bodies;133;436;Latin;1748;1748;1748;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;1;3-19;1;27;181;199;E133;133;https://scholarlycommons.pacific.edu/euler-works/133
Theoremata circa divisores numerorum;Theorems on divisors of numbers;134;7;Latin;1747;1747;1747;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;1;20-48;1;2;62;85;E134;134;https://scholarlycommons.pacific.edu/euler-works/134
Variae demostrationes geometriae;Various geometric demonstrations;135;310;Latin;1748;1748;1748;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;1;49-66;1;26;15;32;E135;135;https://scholarlycommons.pacific.edu/euler-works/135
De propagatione pulsuum per medium elasticum;On the propagation of pulses in an elastic medium;136;508;Latin;1748;1748;1748;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;1;67-105;2;10;98;131;E136;136;https://scholarlycommons.pacific.edu/euler-works/136
Examen artificii navis a principio motus interno propellendi;Examination of a design for propelling a ship by an internal principle of motion;137;597;Latin;1748;1748;1748;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;1;106-123;2;20;130;145;E137;137;https://scholarlycommons.pacific.edu/euler-works/137
De motu nodorum lunae eiusque inclinationis ad eclipticam variatione;On the motion of the lunar nodes, and on the variation of their inclination to the ecliptic;138;653;Latin;1748;1748;1748;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;1;387-427;2;23;11;48;E138;138;https://scholarlycommons.pacific.edu/euler-works/138
Quantum motus terrae a luna perturbeter accuratius inquiritur;To what degree the motion of the earth is perturbed by the moon, more accurately investigated;139;630;Latin;1748;1748;1748;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;1;428-443;2;23;49;63;E139;139;https://scholarlycommons.pacific.edu/euler-works/139
Sur la vibration des cordes;On the vibration of strings;140;520;French;1748;1748;1748;journal;article;Mémoires de l'académie des sciences de Berlin;4;69-85;2;10;63;77;E140;140;https://scholarlycommons.pacific.edu/euler-works/140
Sur l'accord des deux dernières éclipses du soleil et de la lune avec mes tables pour trouver les vrais momens des pléni-lunes et novi-lunes;On the agreement of the last two eclipses of the sun and moon with my tables for finding the true times of half-moons and new-moons;141;651;French;1748;1748;1748;journal;article;Mémoires de l'académie des sciences de Berlin;4;86-98;2;30;89;100;E141;141;https://scholarlycommons.pacific.edu/euler-works/141
Sur l'atmosphère de la lune prouvée par la dernière eclipse annulaire du soleil;On the atmosphere of the moon as proved by the last annular solar eclipse;142;648;French;1748;1748;1748;journal;article;Mémoires de l'académie des sciences de Berlin;4;103-121;2;31;239;256;E142;142;https://scholarlycommons.pacific.edu/euler-works/142
Sur le frottement des corps solides;On the friction of solid bodies;143;549;French;1748;1748;1748;journal;article;Mémoires de l'académie des sciences de Berlin;4;122-132;2;8;54;63;E143;143;https://scholarlycommons.pacific.edu/euler-works/143
Sur la diminution de la résistance du frottement;On the reduction of the resistance due to friction;144;550;French;1749;1749;1749;journal;article;Mémoires de l'académie des sciences de Berlin;4;133-148;2;8;64;79;E144;144;https://scholarlycommons.pacific.edu/euler-works/144
Recherches sur les plus grands et plus petits qui se trouvent dans les actions des forces;Research on the largest and the smallest which are found in the action of forces;145;534;French;1748;1748;1748;journal;article;Mémoires de l'académie des sciences de Berlin;4;149-188;2;5;1;37;E145;145;https://scholarlycommons.pacific.edu/euler-works/145
Réflexions sur quelques loix générales de la nature qui s'observent dans les effets des forces quelconques;Reflections on some general laws of nature which are observed in the effects of arbitrary forces;146;533;French;1749;1749;1749;journal;article;Mémoires de l'académie des sciences de Berlin;4;189-218;2;5;38;63;E146;146;https://scholarlycommons.pacific.edu/euler-works/146
